CATALOG_ID,LOCAL_ID,NAME_(US),LATITUDE_(DEG),LONGITUDE_(DEG),LATITUDE_(DMS),LONGITUDE_(DMS),SHALLOW_WATER,Season,SEABED,DEPTH_M,RAIN,SEA_STATE,SHIPPING
0,1,Arabian Sea,23.375,67.875,23°22′30″ N,67°52′30″ E,yes,Summer,Clay,21.0,3,3,4
1,1,Arabian Sea,23.375,67.875,23°22′30″ N,67°52′30″ E,yes,Autumn,Clay,21.0,0,3,4
2,1,Arabian Sea,23.375,67.875,23°22′30″ N,67°52′30″ E,yes,Winter,Clay,21.0,0,2,4
3,1,Arabian Sea,23.375,67.875,23°22′30″ N,67°52′30″ E,yes,Spring,Clay,21.0,0,2,4
4,2,Argentine Sea,-50.875,-67.625,50°52′30″ S,67°37′30″ W,yes,Summer,Gravel,100.1,0,3,1
5,2,Argentine Sea,-50.875,-67.625,50°52′30″ S,67°37′30″ W,yes,Autumn,Gravel,100.1,0,3,1
6,2,Argentine Sea,-50.875,-67.625,50°52′30″ S,67°37′30″ W,yes,Winter,Gravel,100.1,0,3,1
7,2,Argentine Sea,-50.875,-67.625,50°52′30″ S,67°37′30″ W,yes,Spring,Gravel,100.1,0,3,1
8,3,Baltic Sea,55.125,12.875,55°07′30″ N,12°52′30″ E,yes,Summer,Silt,35.4,0,6,7
9,3,Baltic Sea,55.125,12.875,55°07′30″ N,12°52′30″ E,yes,Autumn,Silt,35.4,0,1,7
10,3,Baltic Sea,55.125,12.875,55°07′30″ N,12°52′30″ E,yes,Winter,Silt,35.4,0,0,7
11,3,Baltic Sea,55.125,12.875,55°07′30″ N,12°52′30″ E,yes,Spring,Silt,35.4,0,4,7
12,4,Bay of Bengal,18.875,89.375,18°52′30″ N,89°22′30″ E,no,Summer,Silt,1902.0,2,4,3
13,4,Bay of Bengal,18.875,89.375,18°52′30″ N,89°22′30″ E,no,Autumn,Silt,1902.0,1,3,3
14,4,Bay of Bengal,18.875,89.375,18°52′30″ N,89°22′30″ E,no,Winter,Silt,1902.0,0,3,3
15,4,Bay of Bengal,18.875,89.375,18°52′30″ N,89°22′30″ E,no,Spring,Silt,1902.0,0,3,3
16,5,Coral Sea,-21.875,151.125,21°52′30″ S,151°07′30″ E,yes,Summer,Sand,68.2,1,2,2
17,5,Coral Sea,-21.875,151.125,21°52′30″ S,151°07′30″ E,yes,Autumn,Sand,68.2,1,3,2
18,5,Coral Sea,-21.875,151.125,21°52′30″ S,151°07′30″ E,yes,Winter,Sand,68.2,0,2,2
19,5,Coral Sea,-21.875,151.125,21°52′30″ S,151°07′30″ E,yes,Spring,Sand,68.2,1,2,2
20,6,East China Sea,25.125,122.125,25°07′30″ N,122°07′30″ E,no,Summer,Sand,184.6,1,3,5
21,6,East China Sea,25.125,122.125,25°07′30″ N,122°07′30″ E,no,Autumn,Sand,184.6,2,3,5
22,6,East China Sea,25.125,122.125,25°07′30″ N,122°07′30″ E,no,Winter,Sand,184.6,1,3,5
23,6,East China Sea,25.125,122.125,25°07′30″ N,122°07′30″ E,no,Spring,Sand,184.6,1,3,5
24,7,Guanabara Bay,-23.125,-43.125,23°07′30″ S,43°07′30″ W,yes,Summer,Clay,56.3,1,3,3
25,7,Guanabara Bay,-23.125,-43.125,23°07′30″ S,43°07′30″ W,yes,Autumn,Clay,56.3,1,3,3
26,7,Guanabara Bay,-23.125,-43.125,23°07′30″ S,43°07′30″ W,yes,Winter,Clay,56.3,0,3,3
27,7,Guanabara Bay,-23.125,-43.125,23°07′30″ S,43°07′30″ W,yes,Spring,Clay,56.3,1,3,3
28,8,Gulf of Aden,12.375,51.125,12°22′30″ N,51°07′30″ E,no,Summer,Basalt,227.6,0,3,4
29,8,Gulf of Aden,12.375,51.125,12°22′30″ N,51°07′30″ E,no,Autumn,Basalt,227.6,0,3,4
30,8,Gulf of Aden,12.375,51.125,12°22′30″ N,51°07′30″ E,no,Winter,Basalt,227.6,0,2,4
31,8,Gulf of Aden,12.375,51.125,12°22′30″ N,51°07′30″ E,no,Spring,Basalt,227.6,0,2,4
32,9,Gulf of Bothnia,64.675,23.875,64°40′30″ N,23°52′30″ E,yes,Summer,Gravel,26.3,0,2,6
33,9,Gulf of Bothnia,64.675,23.875,64°40′30″ N,23°52′30″ E,yes,Autumn,Gravel,26.3,0,2,6
34,9,Gulf of Bothnia,64.675,23.875,64°40′30″ N,23°52′30″ E,yes,Winter,Gravel,26.3,0,1,6
35,9,Gulf of Bothnia,64.675,23.875,64°40′30″ N,23°52′30″ E,yes,Spring,Gravel,26.3,0,1,6
36,10,Gulf of Cadiz,36.875,-8.325,36°52′30″ N,08°19′30″ W,yes,Summer,Basalt,108.6,0,2,6
37,10,Gulf of Cadiz,36.875,-8.325,36°52′30″ N,08°19′30″ W,yes,Autumn,Basalt,108.6,0,2,6
38,10,Gulf of Cadiz,36.875,-8.325,36°52′30″ N,08°19′30″ W,yes,Winter,Basalt,108.6,0,3,6
39,10,Gulf of Cadiz,36.875,-8.325,36°52′30″ N,08°19′30″ W,yes,Spring,Basalt,108.6,0,3,6
40,11,Gulf of Guinea,3.875,7.375,03°52′30″ N,07°22′30″ E,yes,Summer,Silt,120.4,3,3,4
41,11,Gulf of Guinea,3.875,7.375,03°52′30″ N,07°22′30″ E,yes,Autumn,Silt,120.4,3,2,4
42,11,Gulf of Guinea,3.875,7.375,03°52′30″ N,07°22′30″ E,yes,Winter,Silt,120.4,1,2,4
43,11,Gulf of Guinea,3.875,7.375,03°52′30″ N,07°22′30″ E,yes,Spring,Silt,120.4,1,2,4
44,12,Hebrides Sea,56.875,-7.625,56°52′30″ N,07°37′30″ W,yes,Summer,Basalt,28.5,1,3,6
45,12,Hebrides Sea,56.875,-7.625,56°52′30″ N,07°37′30″ W,yes,Autumn,Basalt,28.5,1,4,6
46,12,Hebrides Sea,56.875,-7.625,56°52′30″ N,07°37′30″ W,yes,Winter,Basalt,28.5,1,4,6
47,12,Hebrides Sea,56.875,-7.625,56°52′30″ N,07°37′30″ W,yes,Spring,Basalt,28.5,0,4,6
48,13,Queen Charlotte Sound,51.375,-129.125,51°22′30″ N,129°07′30″ W,no,Summer,Gravel,205.4,0,3,2
49,13,Queen Charlotte Sound,51.375,-129.125,51°22′30″ N,129°07′30″ W,no,Autumn,Gravel,205.4,2,4,2
50,13,Queen Charlotte Sound,51.375,-129.125,51°22′30″ N,129°07′30″ W,no,Winter,Gravel,205.4,2,4,2
51,13,Queen Charlotte Sound,51.375,-129.125,51°22′30″ N,129°07′30″ W,no,Spring,Gravel,205.4,1,3,2
