CATALOG_ID,SHIP_CATALOG_ID,DYNAMIC_CATALOG_ID,SCENARIO_CATALOG_ID
0,0,0,14
1,0,0,3
2,0,0,35
3,0,0,31
4,1,1,14
5,1,1,3
6,1,1,28
7,1,1,17
8,2,2,14
9,2,2,3
10,2,2,13
11,2,2,69
12,3,3,14
13,3,3,3
14,3,3,11
15,3,3,75
16,4,4,14
17,4,4,3
18,4,4,54
19,4,4,4
20,5,5,14
21,5,5,3
22,5,5,11
23,5,5,27
24,6,6,14
25,6,6,3
26,6,6,29
27,6,6,64
28,7,7,14
29,7,7,3
30,7,7,77
31,7,7,71
32,8,8,14
33,8,8,3
34,8,8,25
35,8,8,69
36,9,9,14
37,9,9,3
38,9,9,53
39,9,9,28
40,10,10,14
41,10,10,3
42,10,10,57
43,10,10,75
44,11,11,14
45,11,11,3
46,11,11,35
47,11,11,0
48,12,12,14
49,12,12,3
50,12,12,20
51,12,12,54
52,13,13,14
53,13,13,3
54,13,13,43
55,13,13,35
56,14,14,14
57,14,14,3
58,14,14,19
59,14,14,27
60,15,15,14
61,15,15,3
62,15,15,43
63,15,15,13
64,16,16,14
65,16,16,3
66,16,16,11
67,16,16,48
68,17,17,14
69,17,17,3
70,17,17,12
71,17,17,45
72,18,18,14
73,18,18,3
74,18,18,44
75,18,18,77
76,19,19,14
77,19,19,3
78,19,19,33
79,19,19,5
80,20,20,14
81,20,20,3
82,20,20,58
83,20,20,68
84,21,21,14
85,21,21,3
86,21,21,15
87,21,21,48
88,22,22,14
89,22,22,3
90,22,22,10
91,22,22,70
92,23,23,14
93,23,23,3
94,23,23,37
95,23,23,79
96,24,24,14
97,24,24,3
98,24,24,46
99,24,24,73
100,25,25,14
101,25,25,3
102,25,25,24
103,25,25,8
104,26,26,14
105,26,26,3
106,26,26,5
107,26,26,29
108,27,27,14
109,27,27,3
110,27,27,37
111,27,27,10
112,28,28,14
113,28,28,3
114,28,28,29
115,28,28,12
116,29,29,14
117,29,29,3
118,29,29,48
119,29,29,35
120,30,30,14
121,30,30,3
122,30,30,58
123,30,30,46
124,31,31,14
125,31,31,3
126,31,31,20
127,31,31,47
128,32,32,14
129,32,32,3
130,32,32,45
131,32,32,26
132,33,33,14
133,33,33,3
134,33,33,34
135,33,33,9
136,34,34,14
137,34,34,3
138,34,34,77
139,34,34,21
140,35,35,14
141,35,35,3
142,35,35,68
143,35,35,31
144,36,36,14
145,36,36,3
146,36,36,20
147,36,36,59
