CATALOG_ID,DYNAMIC_TYPE,SHORTEST_DIST_M,APPROACHING
0,fixed_distance,213.0,True
1,fixed_distance,120.0,True
2,fixed_distance,238.0,False
3,fixed_distance,189.0,False
4,fixed_distance,58.0,True
5,cpa_out,109.0,False
6,fixed_distance,193.0,False
7,cpa_out,229.0,True
8,cpa_out,164.0,True
9,fixed_distance,51.0,False
10,cpa_in,137.0,True
11,cpa_in,245.0,True
12,fixed_distance,147.0,True
13,cpa_out,138.0,True
14,cpa_out,61.0,True
15,cpa_in,81.0,True
16,cpa_out,125.0,False
17,cpa_out,142.0,True
18,fixed_distance,67.0,False
19,cpa_in,247.0,False
20,fixed_distance,109.0,True
21,cpa_out,166.0,False
22,cpa_in,91.0,True
23,cpa_in,221.0,False
24,cpa_out,224.0,True
25,fixed_distance,212.0,False
26,fixed_distance,112.0,True
27,cpa_out,119.0,False
28,cpa_out,106.0,True
29,fixed_distance,246.0,True
30,cpa_in,58.0,True
31,fixed_distance,66.0,False
32,cpa_out,195.0,True
33,cpa_in,217.0,True
34,cpa_in,214.0,True
35,fixed_distance,85.0,False
36,cpa_in,187.0,False
37,cpa_out,159.0,True
38,fixed_distance,106.0,False
39,fixed_distance,73.0,False
40,cpa_out,89.0,True
41,cpa_in,224.0,False
42,cpa_in,148.0,False
43,cpa_out,169.0,True
44,fixed_distance,191.0,False
45,cpa_out,79.0,False
46,cpa_in,242.0,False
47,fixed_distance,137.0,True
48,cpa_in,90.0,True
49,cpa_out,234.0,True
50,fixed_distance,178.0,False
51,cpa_out,77.0,True
52,cpa_out,213.0,False
53,cpa_in,89.0,False
54,cpa_out,188.0,False
55,cpa_in,203.0,True
56,cpa_in,78.0,False
57,fixed_distance,128.0,True
58,fixed_distance,195.0,True
59,fixed_distance,174.0,False
60,fixed_distance,186.0,True
61,cpa_out,171.0,True
62,cpa_out,185.0,True
63,cpa_out,104.0,False
64,fixed_distance,226.0,False
65,cpa_out,152.0,False
66,cpa_out,162.0,True
67,fixed_distance,113.0,True
68,cpa_out,55.0,False
69,fixed_distance,200.0,True
70,cpa_out,231.0,True
71,fixed_distance,67.0,False
72,cpa_out,68.0,True
73,cpa_in,221.0,True
74,cpa_out,83.0,False
75,cpa_out,196.0,True
76,cpa_in,250.0,False
77,fixed_distance,98.0,True
78,cpa_in,160.0,True
79,cpa_out,169.0,True
80,cpa_out,217.0,True
81,cpa_out,153.0,True
82,fixed_distance,77.0,True
83,cpa_in,187.0,True
84,cpa_in,96.0,True
85,cpa_in,69.0,False
86,fixed_distance,190.0,True
87,fixed_distance,188.0,False
88,fixed_distance,242.0,True
89,cpa_in,174.0,True
90,fixed_distance,152.0,True
91,cpa_in,50.0,True
92,cpa_in,250.0,True
93,cpa_out,228.0,False
94,cpa_out,192.0,False
95,fixed_distance,89.0,True
96,cpa_out,64.0,False
97,cpa_out,65.0,True
98,cpa_out,62.0,True
99,fixed_distance,185.0,True
100,fixed_distance,180.0,False
101,cpa_out,67.0,True
102,cpa_in,110.0,True
103,fixed_distance,195.0,False
104,cpa_out,60.0,True
105,cpa_out,218.0,False
106,cpa_in,130.0,True
107,cpa_in,233.0,True
108,fixed_distance,151.0,False
109,cpa_in,126.0,True
110,fixed_distance,242.0,True
111,cpa_out,209.0,False
112,cpa_out,68.0,True
113,fixed_distance,117.0,False
114,fixed_distance,67.0,True
115,cpa_in,90.0,False
116,cpa_in,230.0,False
117,cpa_out,217.0,True
118,cpa_in,191.0,False
119,fixed_distance,76.0,True
120,cpa_out,77.0,False
121,cpa_in,119.0,False
122,cpa_in,233.0,True
123,cpa_in,212.0,False
124,fixed_distance,114.0,True
125,cpa_in,158.0,True
126,fixed_distance,135.0,False
127,fixed_distance,117.0,False
128,cpa_out,191.0,True
129,fixed_distance,52.0,True
130,fixed_distance,226.0,False
131,cpa_out,144.0,False
132,fixed_distance,160.0,True
133,fixed_distance,143.0,False
134,cpa_out,103.0,True
135,cpa_in,76.0,False
136,cpa_out,154.0,False
137,fixed_distance,110.0,False
138,cpa_in,95.0,True
139,cpa_in,238.0,False
140,cpa_out,155.0,False
141,cpa_in,113.0,True
142,fixed_distance,229.0,True
143,cpa_in,59.0,True
144,cpa_in,167.0,True
145,fixed_distance,108.0,True
146,cpa_in,99.0,True
147,cpa_in,67.0,True
148,cpa_in,180.0,False
149,cpa_in,187.0,False
150,cpa_in,79.0,True
151,fixed_distance,117.0,True
152,cpa_in,161.0,False
153,cpa_in,130.0,False
154,fixed_distance,180.0,True
155,fixed_distance,197.0,True
156,cpa_in,231.0,True
157,cpa_out,187.0,False
158,cpa_out,239.0,False
159,cpa_in,143.0,True
160,cpa_in,220.0,False
161,fixed_distance,219.0,False
162,cpa_out,126.0,True
