CATALOG_ID,SEED,CLASS,SHIP_TYPE,MCR_PERCENT,CRUISING_SPEED_KT,ROTACIONAL_FREQUENCY,LENGTH_M,DRAFT_M,N_BLADES,N_SHAFTS,NB_LOWER,NB_MEDIUM,NB_GREATER,NB_ISOLATED,NB_OSCILLATING,NB_concentrated
0,42,Service,tug,0.76,7.0,260.0,35.0,6.0,4,1,0.26,0.16,0.0,0.16,0.23,0.16
1,43,Cargo,tanker,0.76,7.65,136.0,122.0,6.0,4,1,0.41,0.01,0.0,0.0,0.0,0.0
2,44,Service,fishing,0.58,11.0,166.0,26.0,3.0,4,1,0.04,0.0,0.04,0.04,0.04,0.24
3,45,Service,tug,0.73,9.0,237.0,32.0,5.0,6,1,0.23,0.13,0.0,0.13,0.15,0.13
4,46,Cargo,containership,0.74,12.0,52.0,312.0,7.0,6,1,0.48,0.0,0.0,0.0,0.0,0.0
5,47,Service,dredger,0.79,8.0,165.0,115.0,5.0,4,1,0.02,0.94,0.0,0.0,0.0,0.0
6,48,Service,fishing,0.61,10.0,175.0,28.0,4.0,5,1,0.05,0.0,0.05,0.05,0.05,0.25
7,49,Service,fishing,0.51,6.0,144.0,21.0,2.0,3,1,0.01,0.0,0.01,0.01,0.01,0.21
8,50,Service,tug,0.75,10.0,251.0,33.0,5.0,6,1,0.25,0.15,0.0,0.15,0.2,0.15
9,51,Cargo,vehicle_carrier,0.76,17.0,53.0,177.0,5.61,6,1,0.85,0.0,0.12,0.02,0.02,0.0
10,52,Cargo,containership,0.75,14.0,58.0,154.0,10.0,6,1,0.5,0.0,0.0,0.0,0.0,0.0
11,53,Service,tug,0.76,8.0,259.0,34.0,6.0,4,1,0.26,0.16,0.0,0.16,0.22,0.16
12,54,Cargo,containership,0.75,13.0,54.0,315.0,8.0,6,1,0.48,0.0,0.0,0.0,0.0,0.0
13,55,Cargo,containership,0.7,12.0,52.0,131.0,7.0,6,1,0.32,0.0,0.0,0.0,0.0,0.0
14,56,Service,dredger,0.85,12.0,191.0,178.0,6.0,4,1,0.05,0.96,0.0,0.0,0.0,0.0
15,57,Service,fishing,0.51,5.0,142.0,20.0,2.0,3,1,0.0,0.0,0.0,0.0,0.0,0.2
16,58,Cargo,tanker,0.84,9.82,141.0,132.0,10.0,4,1,0.52,0.12,0.0,0.0,0.0,0.06
17,59,Service,dredger,0.77,7.0,148.0,98.0,4.0,4,1,0.01,0.99,0.0,0.0,0.0,0.0
18,60,Service,dredger,0.78,8.0,159.0,109.0,5.0,4,1,0.02,0.96,0.0,0.0,0.0,0.0
19,61,Cargo,containership,0.72,15.0,104.0,183.0,13.0,6,1,0.4,0.0,0.0,0.0,0.0,0.0
20,62,Service,recreational,0.74,16.0,118.0,34.0,2.0,4,1,0.29,0.0,0.19,0.19,0.0,0.29
21,63,Service,fishing,0.59,12.0,168.0,27.0,3.0,4,1,0.04,0.0,0.04,0.04,0.04,0.24
22,64,Cargo,vehicle_carrier,0.77,19.0,57.0,185.0,6.19,6,1,0.9,0.0,0.15,0.05,0.05,0.0
23,65,Service,dredger,0.79,9.0,173.0,123.0,5.0,4,1,0.02,0.24,0.0,0.0,0.0,0.0
24,66,Cargo,tanker,0.76,7.78,137.0,124.0,6.0,4,1,0.41,0.01,0.0,0.0,0.0,0.01
25,67,Service,recreational,0.61,15.0,102.0,30.0,2.0,4,1,0.21,0.0,0.11,0.01,0.0,0.11
26,68,Service,recreational,0.71,18.0,114.0,35.0,2.0,4,1,0.27,0.0,0.17,0.15,0.0,0.25
27,69,Cargo,vehicle_carrier,0.78,16.0,60.0,171.0,6.71,6,1,0.94,0.0,0.17,0.07,0.07,0.0
28,70,Service,dredger,0.84,6.0,135.0,85.0,4.0,4,1,0.05,0.93,0.0,0.0,0.0,0.0
29,71,Cargo,tanker,0.8,8.8,145.0,140.0,8.0,5,1,0.46,0.06,0.0,0.0,0.0,0.03
30,72,Service,fishing,0.51,6.0,144.0,21.0,2.0,3,1,0.01,0.0,0.01,0.01,0.01,0.21
31,73,Cargo,bulker,0.74,11.0,58.0,210.0,8.9,6,1,0.16,0.03,0.0,0.0,0.13,0.0
32,74,Cargo,tanker,0.88,10.94,138.0,127.0,10.0,4,1,0.57,0.17,0.0,0.0,0.0,0.09
33,75,Cargo,vehicle_carrier,0.77,19.0,57.0,184.0,6.13,6,1,0.89,0.0,0.15,0.05,0.05,0.0
34,76,Service,recreational,0.66,17.0,111.0,32.0,2.0,4,1,0.24,0.0,0.14,0.07,0.0,0.17
35,77,Service,fishing,0.66,9.0,191.0,24.0,3.0,4,1,0.08,0.0,0.08,0.08,0.08,0.28
36,78,Cargo,tanker,0.87,10.76,141.0,132.0,7.0,4,1,0.56,0.16,0.0,0.0,0.0,0.08
37,79,Cargo,bulker,0.73,10.0,54.0,193.0,8.23,4,1,0.13,0.01,0.0,0.0,0.11,0.0
38,80,Cargo,bulker,0.74,11.0,58.0,209.0,8.86,6,1,0.15,0.03,0.0,0.0,0.13,0.0
39,81,Cargo,containership,0.73,16.0,105.0,184.0,13.0,6,1,0.4,0.0,0.0,0.0,0.0,0.0
40,82,Cargo,containership,0.71,13.0,54.0,138.0,8.0,6,1,0.33,0.0,0.0,0.0,0.0,0.0
41,83,Service,tug,0.75,10.0,251.0,33.0,5.0,6,1,0.25,0.15,0.0,0.15,0.2,0.15
42,84,Cargo,vehicle_carrier,0.79,18.0,54.0,179.0,6.83,6,1,0.95,0.0,0.17,0.07,0.07,0.0
43,85,Service,dredger,0.77,7.0,145.0,95.0,4.0,4,1,0.01,0.22,0.0,0.0,0.0,0.0
44,86,Cargo,tanker,0.87,10.67,135.0,121.0,6.0,4,1,0.56,0.16,0.0,0.0,0.0,0.08
45,87,Cargo,tanker,0.77,8.08,139.0,129.0,7.0,4,1,0.43,0.03,0.0,0.0,0.0,0.01
46,88,Service,dredger,0.79,9.0,170.0,120.0,5.0,4,1,0.02,0.24,0.0,0.0,0.0,0.0
47,89,Service,tug,0.71,7.0,225.0,30.0,4.0,4,1,0.21,0.11,0.0,0.11,0.12,0.11
48,90,Service,recreational,0.63,16.0,106.0,31.0,2.0,4,1,0.22,0.0,0.12,0.04,0.0,0.14
49,91,Service,recreational,0.61,15.0,102.0,30.0,2.0,4,1,0.21,0.0,0.11,0.02,0.0,0.12
50,92,Service,tug,0.74,10.0,246.0,33.0,5.0,6,1,0.24,0.14,0.0,0.14,0.18,0.14
51,93,Service,recreational,0.74,18.0,115.0,33.0,2.0,4,1,0.29,0.0,0.19,0.18,0.0,0.28
52,94,Cargo,containership,0.73,16.0,106.0,189.0,8.0,6,1,0.41,0.0,0.0,0.0,0.0,0.0
53,95,Cargo,tanker,0.86,10.54,139.0,128.0,10.0,4,1,0.55,0.15,0.0,0.0,0.0,0.08
